user,likes,title,genre,sub_genre,themes,mood,age_restriction,actors,directors,release_year,duration_minutes,channel_number,event_time,content_type,content_category
user_4,yes,Timeless Journey,Romance,Coming-of-Age,Family Bonds,Excited,Family,Mina Patel,Dir D,2005,120,305.0,2025-06-20 02:13:12.508015,series,Series
user_61,no,Echoes of Youth,Sci-Fi,Slice of Life,Friendship,Relaxed,18,Carlos Diaz,Dir B,2022,30,,2025-06-19 21:50:12.508170,series,Series
user_77,no,Love Circuit,Family,Coming-of-Age,Friendship,Excited,18,Carlos Diaz,Dir B,2002,120,505.0,2025-06-19 18:08:12.508205,episode,Other
user_87,no,Midnight Code,Comedy,Fantasy,Betrayal,Melancholic,13,Mina Patel,Dir C,2018,45,305.0,2025-06-19 09:25:12.508231,episode,Other
user_17,yes,Love Circuit,Family,Slice of Life,Adventure,Nostalgic,13,Carlos Diaz,Dir D,2005,45,505.0,2025-06-19 01:15:12.508262,movie,Movie
user_43,no,Echoes of Youth,Action,Fantasy,Courage,Excited,Family,John Doe,Dir C,2000,60,404.0,2025-06-20 05:12:12.508290,series,Series
user_2,no,Love Circuit,Sci-Fi,Buddy,Courage,Excited,18,Jane Smith,Dir B,2007,30,305.0,2025-06-20 16:44:12.508312,movie,Movie
user_63,yes,Echoes of Youth,Thriller,Buddy,Love,Relaxed,13,Mina Patel,Dir A,1997,120,404.0,2025-06-20 17:48:12.508336,movie,Movie
user_46,yes,Echoes of Youth,Romance,Coming-of-Age,Adventure,Nostalgic,13,Mina Patel,Dir C,2021,120,505.0,2025-06-19 00:29:12.508357,series,Series
user_45,yes,Sky's Edge,Family,Buddy,Betrayal,Excited,Family,Mina Patel,Dir C,2020,45,203.0,2025-06-19 11:49:12.508377,special,Other
user_57,no,Love Circuit,Drama,Fantasy,Family Bonds,Melancholic,Family,Jane Smith,Dir C,1999,60,505.0,2025-06-19 11:33:12.508396,episode,Other
user_27,yes,Echoes of Youth,Family,Fantasy,Courage,Relaxed,Family,Alice Lee,Dir B,2019,120,404.0,2025-06-19 20:19:12.508414,episode,Other
user_53,yes,Timeless Journey,Sci-Fi,Coming-of-Age,Betrayal,Melancholic,18,Alice Lee,Dir D,2015,30,505.0,2025-06-19 05:16:12.508433,movie,Movie
user_6,no,Midnight Code,Action,Buddy,Adventure,Relaxed,18,John Doe,Dir A,2009,120,305.0,2025-06-19 15:15:12.508451,special,Other
user_29,yes,Timeless Journey,Comedy,Slice of Life,Betrayal,Nostalgic,16,John Doe,Dir D,2007,90,404.0,2025-06-19 12:29:12.508473,movie,Movie
user_81,yes,Sky's Edge,Sci-Fi,Slice of Life,Family Bonds,Nostalgic,13,Carlos Diaz,Dir B,2018,120,505.0,2025-06-18 20:32:12.508509,series,Series
user_8,yes,Love Circuit,Romance,Fantasy,Love,Excited,Family,Alice Lee,Dir C,2020,120,203.0,2025-06-19 16:10:12.508541,episode,Other
user_50,yes,Sky's Edge,Family,Buddy,Courage,Excited,18,Jane Smith,Dir D,1997,90,203.0,2025-06-19 11:01:12.508572,movie,Movie
user_79,no,Love Circuit,Action,Coming-of-Age,Adventure,Excited,18,John Doe,Dir A,2004,90,305.0,2025-06-19 03:28:12.508602,movie,Movie
user_58,yes,Midnight Code,Action,Fantasy,Adventure,Excited,Family,Jane Smith,Dir C,2020,120,,2025-06-19 13:13:12.508633,series,Series
user_58,no,Love Circuit,Romance,Crime,Adventure,Melancholic,Family,Alice Lee,Dir B,2009,120,101.0,2025-06-19 01:14:12.508665,special,Other
user_19,yes,Timeless Journey,Family,Slice of Life,Friendship,Melancholic,16,Alice Lee,Dir D,1992,90,101.0,2025-06-19 07:54:12.508696,episode,Other
user_98,yes,Midnight Code,Sci-Fi,Buddy,Courage,Melancholic,16,Jane Smith,Dir D,1990,90,404.0,2025-06-19 10:13:12.508727,special,Other
user_59,yes,Echoes of Youth,Thriller,Crime,Adventure,Excited,Family,Mina Patel,Dir D,1994,120,101.0,2025-06-19 08:06:12.508761,series,Series
user_78,no,Sky's Edge,Family,Crime,Family Bonds,Relaxed,Family,Carlos Diaz,Dir D,2007,60,505.0,2025-06-19 23:40:12.508796,movie,Movie
user_50,no,Midnight Code,Family,Fantasy,Love,Relaxed,18,Mina Patel,Dir C,1990,60,505.0,2025-06-19 13:27:12.508823,series,Series
user_95,yes,Echoes of Youth,Comedy,Buddy,Adventure,Nostalgic,16,Mina Patel,Dir A,2022,120,404.0,2025-06-19 09:41:12.508855,episode,Other
user_64,no,Timeless Journey,Comedy,Slice of Life,Family Bonds,Relaxed,18,Mina Patel,Dir D,2022,120,305.0,2025-06-18 20:23:12.508878,movie,Movie
user_42,no,Sky's Edge,Romance,Buddy,Love,Relaxed,13,Jane Smith,Dir C,2023,30,101.0,2025-06-19 17:35:12.508898,movie,Movie
user_8,yes,Love Circuit,Action,Buddy,Courage,Relaxed,16,Carlos Diaz,Dir B,1996,60,505.0,2025-06-19 05:54:12.508916,special,Other
user_47,yes,Midnight Code,Comedy,Coming-of-Age,Family Bonds,Melancholic,18,Carlos Diaz,Dir D,2002,45,404.0,2025-06-19 19:34:12.508935,series,Series
user_53,yes,Echoes of Youth,Romance,Slice of Life,Friendship,Melancholic,Family,Carlos Diaz,Dir C,2004,60,,2025-06-19 18:01:12.508954,special,Other
user_72,no,Timeless Journey,Sci-Fi,Coming-of-Age,Family Bonds,Nostalgic,16,Jane Smith,Dir B,2018,60,,2025-06-19 14:21:12.508973,special,Other
user_93,no,Echoes of Youth,Drama,Slice of Life,Family Bonds,Relaxed,18,Jane Smith,Dir D,2018,30,203.0,2025-06-18 18:58:12.508992,episode,Other
user_23,yes,Timeless Journey,Romance,Fantasy,Betrayal,Nostalgic,18,Jane Smith,Dir C,1990,60,203.0,2025-06-19 17:33:12.509043,special,Other
user_70,no,Sky's Edge,Romance,Coming-of-Age,Adventure,Melancholic,18,Carlos Diaz,Dir A,2007,30,,2025-06-20 09:36:12.509067,series,Series
user_4,no,Sky's Edge,Drama,Coming-of-Age,Friendship,Excited,13,John Doe,Dir C,2004,30,404.0,2025-06-19 10:02:12.509087,movie,Movie
user_47,no,Midnight Code,Thriller,Fantasy,Friendship,Melancholic,18,Carlos Diaz,Dir A,2007,30,404.0,2025-06-19 02:44:12.509105,series,Series
user_81,no,Timeless Journey,Action,Fantasy,Family Bonds,Relaxed,Family,Alice Lee,Dir D,2009,60,404.0,2025-06-19 06:57:12.509124,episode,Other
user_51,no,Love Circuit,Family,Crime,Love,Melancholic,13,Alice Lee,Dir B,1993,90,,2025-06-19 19:37:12.509142,special,Other
user_1,yes,Midnight Code,Family,Fantasy,Betrayal,Excited,16,John Doe,Dir C,2023,90,305.0,2025-06-19 23:58:12.509161,movie,Movie
user_17,no,Sky's Edge,Drama,Fantasy,Adventure,Relaxed,16,John Doe,Dir A,1997,120,404.0,2025-06-18 20:56:12.509180,movie,Movie
user_94,yes,Love Circuit,Family,Crime,Friendship,Relaxed,18,Jane Smith,Dir B,2001,30,305.0,2025-06-19 10:06:12.509206,special,Other
user_47,no,Love Circuit,Comedy,Crime,Love,Relaxed,18,Jane Smith,Dir B,2011,120,305.0,2025-06-20 18:24:12.509234,episode,Other
user_38,yes,Sky's Edge,Family,Fantasy,Courage,Excited,16,Jane Smith,Dir A,1996,60,203.0,2025-06-20 08:04:12.509254,special,Other
user_85,yes,Sky's Edge,Drama,Crime,Friendship,Melancholic,16,Mina Patel,Dir D,1990,90,203.0,2025-06-19 11:23:12.509273,episode,Other
user_33,yes,Echoes of Youth,Romance,Coming-of-Age,Adventure,Nostalgic,Family,Jane Smith,Dir A,1991,30,404.0,2025-06-20 17:20:12.509292,series,Series
user_18,no,Love Circuit,Comedy,Buddy,Friendship,Relaxed,16,Alice Lee,Dir A,1991,90,,2025-06-19 19:13:12.509314,special,Other
user_45,yes,Love Circuit,Comedy,Fantasy,Friendship,Relaxed,16,John Doe,Dir A,2008,90,305.0,2025-06-19 17:09:12.509355,special,Other
user_35,no,Midnight Code,Action,Crime,Courage,Excited,16,Alice Lee,Dir A,2002,45,101.0,2025-06-19 21:13:12.509376,series,Series
user_41,no,Love Circuit,Comedy,Coming-of-Age,Courage,Excited,13,John Doe,Dir B,1997,30,305.0,2025-06-18 20:41:12.509395,special,Other
user_88,no,Sky's Edge,Drama,Coming-of-Age,Friendship,Relaxed,18,Carlos Diaz,Dir B,2004,90,305.0,2025-06-20 08:09:12.509414,movie,Movie
user_97,yes,Midnight Code,Comedy,Slice of Life,Betrayal,Melancholic,18,Jane Smith,Dir B,1990,60,203.0,2025-06-19 00:01:12.509432,movie,Movie
